MatchDate,home_gf_form,home_ga_form,home_matches,away_gf_form,away_ga_form,away_matches,target
2000-08-22,2.0,1.4,1,2.0,0.8,1,1
2000-08-23,0.8,2.8,1,1.4,1.0,1,2
2000-08-23,2.0,2.0,1,0.6,2.2,1,0
2000-08-23,1.6,2.0,1,2.0,0.8,1,2
2000-08-23,2.4,1.4,1,0.4,2.0,1,0
2000-08-23,1.8,1.6,1,1.4,1.4,1,2
2000-08-26,1.0,1.6,2,2.0,1.2,2,1
2000-08-26,0.4,2.0,2,1.2,1.4,1,0
2000-08-26,2.4,0.6,2,1.8,1.4,2,0
2000-08-26,0.6,1.8,2,1.4,1.8,2,2
2000-08-26,1.0,1.0,2,1.4,2.2,2,2
2000-08-26,1.4,1.0,2,1.6,1.8,2,1
2000-08-26,2.4,0.8,2,1.0,2.4,2,1
2000-08-26,1.2,2.0,2,2.2,1.0,2,2
2000-08-26,1.8,0.4,2,1.6,2.0,2,1
2000-08-27,1.0,1.0,1,1.0,1.4,2,1
2000-09-05,0.6,1.4,3,1.6,1.4,3,2
2000-09-05,1.6,1.6,3,1.2,1.4,3,1
2000-09-05,0.8,1.2,2,1.0,1.4,3,0
2000-09-05,0.8,1.0,3,1.2,1.2,3,2
2000-09-06,1.6,1.6,3,2.8,2.0,3,1
2000-09-06,1.4,1.4,3,2.2,1.8,3,1
2000-09-06,1.0,0.8,3,1.6,1.8,3,0
2000-09-06,0.6,1.4,3,2.4,1.8,3,1
2000-09-06,1.2,1.8,3,2.2,2.0,2,2
2000-09-06,1.6,1.2,3,2.2,1.8,3,2
2000-09-09,3.0,1.4,4,1.6,2.0,4,0
2000-09-09,1.2,2.4,4,1.0,2.0,4,1
2000-09-09,1.2,3.0,4,1.0,1.8,3,1
2000-09-09,1.6,2.0,4,0.8,2.6,3,0
2000-09-09,1.6,1.8,4,1.6,2.8,4,2
2000-09-09,1.8,1.6,4,1.4,2.6,4,2
2000-09-09,2.8,1.4,4,1.4,2.0,4,2
2000-09-09,3.2,1.0,4,1.2,2.2,4,1
2000-09-10,3.4,1.4,4,3.0,1.4,4,1
2000-09-11,2.0,1.4,4,2.0,1.6,4,2
2000-09-16,1.4,1.2,5,1.4,0.6,5,2
2000-09-16,1.2,1.0,4,1.4,0.6,5,2
2000-09-16,1.0,1.2,5,0.6,1.4,5,2
2000-09-16,1.0,0.8,5,1.6,0.8,5,2
2000-09-16,1.6,1.4,4,1.0,1.6,5,0
2000-09-16,1.0,1.4,5,1.2,1.8,5,2
2000-09-16,1.0,1.6,5,1.6,1.0,5,0
2000-09-17,1.4,1.4,5,1.6,1.6,5,0
2000-09-17,1.4,0.8,5,1.6,1.6,5,1
2000-09-17,1.0,1.0,5,1.4,1.2,5,1
2000-09-23,1.0,1.2,6,1.6,1.0,6,1
2000-09-23,0.4,0.8,6,1.2,1.2,6,1
2000-09-23,0.8,1.2,6,1.2,1.2,5,1
2000-09-23,1.6,1.4,6,1.2,1.2,6,1
2000-09-23,1.0,1.2,6,0.2,0.8,6,0
2000-09-23,1.2,1.4,6,1.2,0.8,6,0
2000-09-23,0.2,0.8,6,1.0,0.8,6,0
2000-09-23,1.0,1.0,6,0.6,1.0,6,1
2000-09-23,1.0,1.4,6,1.4,0.8,5,1
2000-09-24,1.8,1.2,6,1.6,1.6,6,1
2000-09-30,1.2,0.2,7,0.8,1.2,7,1
2000-09-30,1.2,0.4,7,0.4,0.8,7,0
2000-09-30,1.0,0.6,7,0.4,1.2,7,1
2000-09-30,0.4,0.8,7,0.8,1.0,7,0
2000-09-30,0.4,0.8,6,1.4,1.0,7,2
2000-09-30,1.4,0.4,6,1.6,1.4,7,2
2000-09-30,1.0,0.6,7,1.2,0.4,7,0
2000-10-01,0.8,1.4,7,1.2,1.8,7,2
2000-10-01,1.8,1.8,7,1.2,1.8,7,2
2000-10-01,0.8,1.2,7,1.4,1.4,7,1
2000-10-14,1.2,1.4,8,1.2,0.8,8,2
2000-10-14,1.2,1.0,8,2.4,2.4,8,0
2000-10-14,1.0,0.8,8,2.0,1.4,8,2
2000-10-14,1.8,0.8,7,2.0,2.2,8,2
2000-10-14,1.4,2.0,8,2.2,1.6,8,2
2000-10-14,1.6,2.2,8,2.6,2.4,8,1
2000-10-14,1.4,1.8,8,2.4,1.8,7,2
2000-10-14,1.8,1.6,8,1.4,0.6,8,1
2000-10-15,1.0,1.2,8,0.4,1.8,8,0
2000-10-16,1.0,1.8,8,1.2,1.8,8,0
2000-10-21,1.0,1.2,9,1.4,0.8,9,0
2000-10-21,1.6,1.2,9,1.2,2.4,8,2
2000-10-21,1.6,1.0,9,1.4,1.2,9,0
2000-10-21,1.6,1.0,9,1.2,1.4,9,2
2000-10-21,1.8,1.4,9,0.6,1.8,9,2
2000-10-21,1.2,2.2,9,0.8,2.2,9,2
2000-10-21,1.8,1.2,9,1.8,1.0,9,0
2000-10-21,1.2,1.2,9,0.8,1.8,9,2
2000-10-22,1.4,1.2,8,1.4,1.6,9,1
2000-10-23,1.2,1.2,9,1.4,0.6,9,0
2000-10-28,2.2,0.4,10,1.6,0.6,10,2
2000-10-28,2.2,0.4,10,1.0,1.4,10,2
2000-10-28,2.0,0.4,10,1.4,1.0,10,2
2000-10-28,1.8,0.6,10,1.6,0.4,10,2
2000-10-28,0.6,2.8,10,0.4,2.6,10,2
2000-10-28,1.4,0.4,10,1.4,0.4,10,2
2000-10-28,2.2,0.4,10,1.0,2.6,10,2
2000-10-28,0.8,0.4,9,1.6,0.2,10,2
2000-10-29,0.4,2.6,10,0.6,1.4,9,1
2000-10-29,0.6,2.2,10,0.6,1.0,10,2
2000-11-04,0.4,2.0,11,2.4,0.6,11,2
2000-11-04,2.2,0.8,11,0.4,2.0,11,2
2000-11-04,0.4,1.8,11,1.2,2.0,11,0
2000-11-04,0.4,2.4,10,1.8,1.6,11,2
2000-11-04,0.8,2.2,11,2.2,0.8,11,0
2000-11-04,1.0,1.6,11,3.2,0.6,11,0
2000-11-04,1.0,1.2,11,3.4,0.6,11,2
2000-11-04,1.4,1.2,11,2.6,0.6,11,2
2000-11-05,0.6,2.4,11,1.0,2.4,10,0
2000-11-06,1.0,2.4,11,1.2,1.4,11,1
2000-11-11,1.2,1.4,12,1.2,0.6,12,2
2000-11-11,0.6,0.8,11,1.0,0.2,12,2
2000-11-11,0.6,1.0,12,1.4,1.0,12,0
2000-11-11,0.8,1.0,12,0.8,0.4,12,1
2000-11-11,1.0,0.6,12,1.8,0.8,12,1
2000-11-11,1.4,1.4,12,0.6,1.0,12,2
2000-11-11,1.0,1.0,12,1.4,1.2,12,2
2000-11-11,1.4,1.2,12,1.6,0.6,12,1
2000-11-12,1.2,2.0,12,1.8,2.6,11,1
2000-11-12,1.0,1.4,12,2.0,2.6,12,2
2000-11-18,0.6,1.8,13,2.2,2.6,13,0
2000-11-18,1.2,2.0,13,2.0,1.8,12,2
2000-11-18,0.6,1.4,13,1.6,1.2,13,0
2000-11-18,0.8,1.6,13,2.0,1.6,13,0
2000-11-18,0.2,0.6,13,1.2,0.8,13,2
2000-11-18,0.6,0.8,13,1.8,1.4,13,2
2000-11-18,1.0,0.8,13,1.4,0.8,13,2
2000-11-18,0.4,0.8,12,1.8,2.0,13,0
2000-11-19,2.2,1.4,13,2.4,1.2,13,2
2000-11-20,1.6,1.6,13,2.2,1.0,13,0
2000-11-25,1.4,0.8,14,0.8,1.4,14,0
2000-11-25,1.0,1.2,14,1.0,1.4,14,2
2000-11-25,1.2,0.8,14,1.0,0.6,14,1
2000-11-25,0.6,1.8,14,1.0,0.6,14,0
2000-11-25,1.6,0.4,14,1.0,0.8,14,2
2000-11-25,1.6,0.8,14,0.8,1.0,14,0
